names,f1,precision,recall,area_ratio,image_confidence,avg obj conf,avg obj size,stdev obj conf,stdev obj size,counts,num_0.1,num_0.2,num_0.3,num_0.4,num_0.5,num_0.6,num_0.7,num_0.8,num_0.9,label
5 115K.png,0.583333333,0.736842105,0.482758621,0.013442604,0.9298652,0.882092899,0.000707505,0.271389621,0.000667146,19,2,0,0,0,0,1,0,0,16,A: over_under
5 200K -1um.png,0.533333333,0.888888889,0.380952381,0.006426675,0.998687146,0.998655332,0.000714075,0.001977762,0.000244672,9,0,0,0,0,0,0,0,0,9,A: over_under
5 59K.png,0.827586207,0.8,0.857142857,0.02827047,0.92155076,0.886451458,0.000628233,0.248065356,0.000377989,45,2,0,2,2,1,1,0,0,37,A: over_under
5-1 115K -1um.png,0.732394366,0.896551724,0.619047619,0.076287442,0.982433144,0.963842956,0.002630601,0.140108941,0.002440584,29,0,1,0,0,0,0,0,2,26,A: over_under
5-1 200K defocus -1um.png,0.655172414,0.863636364,0.527777778,0.101029419,0.990088542,0.882823274,0.004592246,0.260543538,0.006576048,22,2,0,0,0,0,1,1,1,17,A: over_under
5-1 59K -1um.png,0.845637584,0.851351351,0.84,0.081627445,0.978501813,0.958853102,0.001103074,0.151111347,0.000658997,74,0,3,0,0,0,0,1,2,68,A: over_under
5-1 59K.png,0.880434783,0.931034483,0.835051546,0.10058293,0.981398877,0.976403635,0.001156126,0.103430212,0.000635991,87,0,1,0,1,0,0,0,2,83,A: over_under
5-1 78K -1um.png,0.863636364,0.890625,0.838235294,0.093780648,0.975594916,0.969270243,0.001465323,0.11493016,0.001131028,64,0,0,1,0,2,1,0,0,60,A: over_under
5-1 93K -1um.png,0.843137255,0.826923077,0.86,0.091018074,0.995687703,0.974655065,0.001750348,0.095953926,0.001618438,52,0,0,1,0,0,0,1,2,48,A: over_under
5-2 -2um.png,0.545454545,0.5,0.6,0.005136186,0.877880709,0.845229228,0.000856031,0.313509876,0.000677256,6,1,0,0,0,0,0,0,0,5,A: over_under
5-2 115K -1um.png,0.804878049,0.868421053,0.75,0.075036167,0.985261188,0.936015984,0.001974636,0.176313497,0.002111476,38,0,1,0,2,0,1,1,0,33,A: over_under
5-2 39K -1um.png,0.711111111,0.738461538,0.685714286,0.056351631,0.972302788,0.953912745,0.000866948,0.172251002,0.00093002,65,2,0,1,0,0,0,1,1,60,A: over_under
5-2 78K -1um.png,0.78,0.8125,0.75,0.064579682,0.999061445,0.998025378,0.00134541,0.009220799,0.001044342,48,0,0,0,0,0,0,0,0,48,A: over_under
5-3 200K defocus -1um.png,0.636363636,0.777777778,0.538461538,0.04158136,0.984994095,0.964276181,0.002310076,0.103249237,0.002991871,18,0,0,0,0,1,0,0,1,16,A: over_under
5-3 39K -1um.png,0.708994709,0.930555556,0.572649573,0.049814728,0.898793326,0.900837838,0.000691871,0.240504264,0.000266554,72,2,3,3,0,0,1,1,2,60,A: over_under
5-3 78K -1um.png,0.793103448,0.901960784,0.707692308,0.072011106,0.996815298,0.993159448,0.001411982,0.027711693,0.001058633,51,0,0,0,0,0,0,0,1,50,A: over_under
5-3 93K -1um.png,0.783505155,0.826086957,0.745098039,0.067859711,0.990694621,0.957476831,0.001475211,0.151215774,0.001447003,46,1,0,1,0,0,0,1,0,43,A: over_under
5_200K -1um.png,0.846153846,0.916666667,0.785714286,0.08126167,0.981598976,0.916462816,0.006771806,0.198103098,0.005937505,12,0,0,1,0,0,0,1,0,10,A: over_under
6 200K -1um.png,0.607142857,0.944444444,0.447368421,0.021891962,0.963786111,0.928647535,0.00121622,0.156946822,0.001561774,18,0,0,0,1,1,0,0,1,15,A: over_under
6 93K.png,0.618556701,0.769230769,0.517241379,0.039189721,0.944711429,0.89366549,0.001004865,0.251024232,0.000769337,39,2,1,1,0,1,1,0,0,33,A: over_under
6_-1um 200K.png,0.636363636,0.875,0.5,0.041040876,0.999474883,0.992405161,0.00513011,0.02009045,0.004711295,8,0,0,0,0,0,0,0,0,8,A: over_under
