names,f1,precision,recall,area_ratio,image_confidence,avg obj conf,avg obj size,stdev obj conf,stdev obj size,avg pred shape,stdev pred shape,range pred shape,counts,swell,swell_frac,num_0.1,num_0.2,num_0.3,num_0.4,num_0.5,num_0.6,num_0.7,num_0.8,num_0.9,label
5_115K.png,0.782608696,0.870967742,0.710526316,0.078516965,0.975696969,0.901116572,0.002532805,0.252173245,0.002017293,1.024099396,0.044647644,0.229202145,31,-0.333512717,-40.28987805,3,0,0,0,0,1,0,1,26,A:  over_under
5_78K.png,0.774193548,0.941176471,0.657534247,0.05754137,0.970669449,0.943750388,0.001128262,0.170703428,0.000727497,1.014839058,0.01159018,0.078114407,51,-0.374940843,-52.95236496,1,1,0,0,0,1,1,2,45,A:  over_under
9_200K.png,0.368421053,0.933333333,0.229508197,0.027221587,0.974677942,0.904457122,0.001814772,0.228662229,0.002894583,1.024559121,0.036416899,0.130973211,15,-0.120562555,-51.81185363,1,0,0,0,0,1,0,1,12,A:  over_under
9_93K.png,0.752475248,0.844444444,0.678571429,0.048825645,0.937476684,0.909516376,0.001085014,0.229071154,0.000646652,1.016928211,0.020186171,0.135184325,45,-0.126662666,-36.2891106,2,1,0,1,1,0,1,0,39,A:  over_under
CTEM 150kx c1 a0b0 _0015.png,0.825,0.868421053,0.785714286,0.032728715,0.985062849,0.96040953,0.000861282,0.168762676,0.000586068,1.017140191,0.019032578,0.110479385,38,-0.194664619,-51.89207265,1,0,0,1,0,0,0,0,36,A:  over_under
CTEM 150kx c1 a0b0 _0026.png,0.827067669,0.901639344,0.763888889,0.032198145,0.943941253,0.958847243,0.000527838,0.132992659,0.000452237,1.014366674,0.010373359,0.063419803,61,-0.201881166,-58.67058576,0,0,1,1,1,1,1,1,55,A:  over_under
CTEM 150kx c1 a0b0 _0047.png,0.854700855,0.961538462,0.769230769,0.034602461,0.962849955,0.934472786,0.000665432,0.207930638,0.000503028,1.010123529,0.005762216,0.035150095,52,-0.163001277,-48.93511798,3,0,0,0,0,1,1,1,46,A:  over_under
HT9 33dpa 360C_0031.png,0.376068376,0.814814815,0.244444444,0.045417546,0.960391557,0.936135108,0.001682131,0.198712572,0.002664064,1.021603675,0.025472225,0.120052119,27,-0.221406268,-48.65354998,1,0,1,0,0,0,0,0,25,A:  over_under
cavity1 x362.59 y71.13 z20.42.png,0.683544304,0.84375,0.574468085,0.045401329,0.984182774,0.947243822,0.001418792,0.140376606,0.001500613,1.019906438,0.018521485,0.093629467,32,-0.094324131,-41.18574107,0,1,0,0,0,0,2,1,28,A:  over_under
100dpa Voids3 over 512.png,0.064516129,0.041666667,0.142857143,0.006859117,0.505539387,0.497144272,0.000285797,0.30310524,0.000196736,1.031278095,0.013474374,0.051976207,24,-0.003270714,-26.99755437,7,1,4,1,1,1,3,4,2,A:  under_over
41dpa voids5 +512.png,0.153846154,0.277777778,0.106382979,0.004791976,0.475339145,0.411070703,0.000266221,0.325639092,0.000163593,1.032412375,0.013212718,0.057573733,18,-0.036359101,-85.25750515,7,3,0,3,0,1,0,1,3,A:  under_over
74dpa Over focus 512 scale bar using 41dpa or 100dpa.png,0.035087719,0.117647059,0.020618557,0.003512523,0.494993971,0.507297401,0.000206619,0.336917581,0.000150145,1.042605026,0.025711541,0.084312499,17,-0.269156592,-93.48169053,4,3,2,1,1,1,0,0,5,A:  under_over
74dpa-voids4 Overfocus.png,0.107526882,0.05988024,0.526315789,0.046420049,0.555945553,0.543012648,0.000277964,0.322001,6.54E-05,1.029960488,0.01456279,0.098236176,167,-0.062861023,-20.35122264,41,17,6,16,15,13,10,13,36,A:  under_over
800H-H01-1_2016-02-27_0004.png,0.290322581,0.268656716,0.315789474,0.028602204,0.78501568,0.756576973,0.000426899,0.302561181,0.000251949,1.023921156,0.026980817,0.168819508,67,-0.521293398,-70.29453021,6,5,3,3,3,0,3,8,36,A:  under_over
800H-H01-1_2016-02-27_0007.png,0.680851064,0.666666667,0.695652174,0.049520381,0.860613311,0.801495631,0.002063349,0.321500446,0.001142033,1.018727626,0.021649038,0.094817329,24,-0.799389691,-47.53281243,3,1,1,1,0,0,1,0,17,A:  under_over
